krzyzowanie,mutacja,osobniki,pokolenia,skalowanie,elitaryzm,najlepszy,najgorszy,średni
0.3,0.07,50,600,0,0,18.992,28.528,21.902235
0.3,0.07,50,3000,0,0,21.852,29.012,24.458588
0.3,0.07,50,9000,0,0,19.52,24.488,22.130588
0.3,0.07,50,36000,0,0,20.616,29.924,24.669529
0.3,0.07,100,600,0,0,19.024,26.556,22.022745
0.3,0.07,100,3000,0,0,20.256,26.136,23.959036
0.3,0.07,100,9000,0,0,19.256,27.36,21.701869
0.3,0.07,100,36000,0,0,19.384,26.616,23.104818
0.3,0.07,250,600,0,0,19.252,25.272,22.474281
0.3,0.07,250,3000,0,0,19.096,25.308,21.671942
0.3,0.07,250,9000,0,0,18.832,24.616,21.434737
0.3,0.07,250,36000,0,0,19.0,26.18,21.948503
0.3,0.3,50,600,0,0,19.76,23.172,22.5879
0.3,0.3,50,3000,0,0,19.288,28.22,21.62485
0.3,0.3,50,9000,0,0,21.692,27.884,23.10645
0.3,0.3,50,36000,0,0,20.564,28.4,24.4238
0.3,0.3,100,600,0,0,18.996,27.32,21.999725
0.3,0.3,100,3000,0,0,19.128,29.812,22.52275
0.3,0.3,100,9000,0,0,19.172,25.868,23.336575
0.3,0.3,100,36000,0,0,19.176,28.776,21.996375
0.3,0.3,250,600,0,0,19.272,28.128,21.54268
0.3,0.3,250,3000,0,0,19.696,26.228,22.75503
0.3,0.3,250,9000,0,0,19.0,21.188,22.07038
0.3,0.3,250,36000,0,0,19.288,26.28,22.55259
0.5,0.07,50,600,0,0,23.548,27.328,24.112974
0.5,0.07,50,3000,0,0,20.72,26.572,25.39041
0.5,0.07,50,9000,0,0,22.8,29.088,25.051026
0.5,0.07,50,36000,0,0,21.484,31.54,24.626564
0.5,0.07,100,600,0,0,22.028,28.712,24.919669
0.5,0.07,100,3000,0,0,24.396,31.512,26.194981
0.5,0.07,100,9000,0,0,20.64,31.52,26.282573
0.5,0.07,100,36000,0,0,24.464,28.748,26.613146
0.5,0.07,250,600,0,0,19.348,28.424,23.615755
0.5,0.07,250,3000,0,0,19.684,31.536,23.114337
0.5,0.07,250,9000,0,0,19.548,30.052,22.77098
0.5,0.07,250,36000,0,0,21.184,28.112,22.838551
0.5,0.3,50,600,0,0,24.056,33.016,26.7504
0.5,0.3,50,3000,0,0,22.288,28.34,25.018667
0.5,0.3,50,9000,0,0,21.8,30.084,25.219867
0.5,0.3,50,36000,0,0,20.572,30.736,25.9928
0.5,0.3,100,600,0,0,20.812,34.332,25.444422
0.5,0.3,100,3000,0,0,18.728,27.476,22.795689
0.5,0.3,100,9000,0,0,21.104,26.968,24.771667
0.5,0.3,100,36000,0,0,21.024,29.112,24.987178
0.5,0.3,250,600,0,0,19.4,29.636,23.217538
0.5,0.3,250,3000,0,0,19.152,31.392,23.252898
0.5,0.3,250,9000,0,0,19.0,30.628,23.440036
0.5,0.3,250,36000,0,0,19.12,30.732,22.997084
0.7,0.07,50,600,0,0,23.164,27.364,26.76
0.7,0.07,50,3000,0,0,25.016,29.404,27.470713
0.7,0.07,50,9000,0,0,23.496,30.744,26.495448
0.7,0.07,50,36000,0,0,23.608,28.992,27.02
0.7,0.07,100,600,0,0,23.932,25.66,26.336318
0.7,0.07,100,3000,0,0,20.284,31.144,25.789864
0.7,0.07,100,9000,0,0,24.0,30.408,26.594932
0.7,0.07,100,36000,0,0,21.692,26.856,27.129318
0.7,0.07,250,600,0,0,20.016,30.748,24.35034
0.7,0.07,250,3000,0,0,19.044,29.652,25.417442
0.7,0.07,250,9000,0,0,19.08,28.98,26.141669
0.7,0.07,250,36000,0,0,20.848,28.212,26.193034
0.7,0.3,50,600,0,0,19.912,28.808,24.936606
0.7,0.3,50,3000,0,0,20.084,29.248,23.11099
0.7,0.3,50,9000,0,0,20.9,29.236,24.928606
0.7,0.3,50,36000,0,0,20.64,27.788,24.392323
0.7,0.3,100,600,0,0,25.1,28.072,26.257729
0.7,0.3,100,3000,0,0,21.316,30.012,24.926211
0.7,0.3,100,9000,0,0,20.356,29.716,24.404543
0.7,0.3,100,36000,0,0,21.992,27.096,25.157528
0.7,0.3,250,600,0,0,19.396,28.512,24.217291
0.7,0.3,250,3000,0,0,18.656,27.988,24.369924
0.7,0.3,250,9000,0,0,19.288,26.432,24.292601
0.7,0.3,250,36000,0,0,19.368,28.324,24.677194
0.3,0.07,50,600,1,0,20.592,22.496,20.969882
0.3,0.07,50,3000,1,0,18.656,20.536,18.791294
0.3,0.07,50,9000,1,0,18.56,25.58,19.918235
0.3,0.07,50,36000,1,0,18.832,21.42,18.982176
0.3,0.07,100,600,1,0,22.656,26.24,22.843007
0.3,0.07,100,3000,1,0,18.56,20.388,19.265285
0.3,0.07,100,9000,1,0,18.56,23.58,19.48365
0.3,0.07,100,36000,1,0,18.648,21.604,19.260146
0.3,0.07,250,600,1,0,18.488,24.884,19.69938
0.3,0.07,250,3000,1,0,18.592,27.088,19.720363
0.3,0.07,250,9000,1,0,18.816,28.58,20.095439
0.3,0.07,250,36000,1,0,18.544,27.844,20.802901
0.3,0.3,50,600,1,0,21.96,25.096,22.8903
0.3,0.3,50,3000,1,0,19.016,26.028,20.42385
0.3,0.3,50,9000,1,0,18.704,25.456,19.8193
0.3,0.3,50,36000,1,0,18.832,27.392,19.7747
0.3,0.3,100,600,1,0,19.168,26.036,20.894
0.3,0.3,100,3000,1,0,18.96,28.14,21.068
0.3,0.3,100,9000,1,0,18.544,25.792,20.557375
0.3,0.3,100,36000,1,0,18.544,28.848,20.461825
0.3,0.3,250,600,1,0,19.168,27.092,21.1623
0.3,0.3,250,3000,1,0,19.332,26.596,21.45423
0.3,0.3,250,9000,1,0,19.08,25.9,21.50755
0.3,0.3,250,36000,1,0,19.368,28.324,21.3049
0.5,0.07,50,600,1,0,19.452,21.732,20.142308
0.5,0.07,50,3000,1,0,19.272,21.052,19.339795
0.5,0.07,50,9000,1,0,19.272,21.1,19.278256
0.5,0.07,50,36000,1,0,19.12,24.424,20.200205
0.5,0.07,100,600,1,0,19.864,24.112,21.471006
0.5,0.07,100,3000,1,0,19.9,26.916,21.402318
0.5,0.07,100,9000,1,0,18.928,28.656,21.727898
0.5,0.07,100,36000,1,0,19.304,26.352,21.411847
0.5,0.07,250,600,1,0,19.04,27.04,22.174602
0.5,0.07,250,3000,1,0,19.292,27.084,22.67352
0.5,0.07,250,9000,1,0,18.784,25.612,21.866469
0.5,0.07,250,36000,1,0,18.824,29.84,22.241235
0.5,0.3,50,600,1,0,22.736,28.408,24.736978
0.5,0.3,50,3000,1,0,22.408,27.0,23.4368
0.5,0.3,50,9000,1,0,19.056,27.688,22.030267
0.5,0.3,50,36000,1,0,19.016,26.476,21.537333
0.5,0.3,100,600,1,0,18.72,26.68,21.900511
0.5,0.3,100,3000,1,0,18.988,23.48,21.864889
0.5,0.3,100,9000,1,0,19.376,23.336,21.842511
0.5,0.3,100,36000,1,0,18.784,25.956,21.407711
0.5,0.3,250,600,1,0,19.168,26.84,22.636596
0.5,0.3,250,3000,1,0,18.832,28.344,22.442729
0.5,0.3,250,9000,1,0,19.796,28.252,21.735102
0.5,0.3,250,36000,1,0,18.984,27.904,22.2428
